fullInfo,itemName,skinName,skinRarity,floatValue,price,tradeLock,skinDiscount,webpage,previewImage
★ Butterfly Knife | Tiger Tooth (Factory New),Butterfly Knife,Tiger Tooth,Factory New ★ Covert Knife,0.013,899.00,Tradable,− 11%,https://skinport.com/item/butterfly-knife-tiger-tooth-factory-new/4194704,https://steam.skinport.com/economy/image/class/730/2221333795/256x128
★ Karambit | Doppler (Factory New),Karambit,Doppler (Phase 2),Factory New ★ Covert Knife,0.021,825.62,Tradable,− 29%,https://skinport.com/item/karambit-doppler-factory-new/3309910,https://steam.skinport.com/economy/image/class/730/721076282/256x128
AWP | Fade (Factory New),AWP,Fade (85%),Factory New Covert Sniper Rifle,0.005,1000.00,Tradable,None,https://skinport.com/item/awp-fade-factory-new/4341985,https://steam.skinport.com/economy/image/class/730/4141795097/256x128
★ Butterfly Knife | Fade (Factory New),Butterfly Knife,Fade (91%) ,Factory New ★ Covert Knife,0.044,1660.79,Tradable,− 7%,https://skinport.com/item/butterfly-knife-fade-factory-new/4283615,https://steam.skinport.com/economy/image/class/730/4012290472/256x128
★ Butterfly Knife | Marble Fade (Factory New),Butterfly Knife,Marble Fade,Factory New ★ Covert Knife,0.028,1140.61,60 hours,− 19%,https://skinport.com/item/butterfly-knife-marble-fade-factory-new/4378928,https://steam.skinport.com/economy/image/class/730/4572946420/256x128
★ Karambit | Tiger Tooth (Factory New),Karambit,Tiger Tooth,Factory New ★ Covert Knife,0.039,553.20,Tradable,− 17%,https://skinport.com/item/karambit-tiger-tooth-factory-new/4336526,https://steam.skinport.com/economy/image/class/730/4569810666/256x128
Desert Eagle | Blaze (Factory New),Desert Eagle,Blaze,Factory New Restricted Pistol,0.035,,Tradable,− 10%,https://skinport.com/item/desert-eagle-blaze-factory-new/3846146,https://steam.skinport.com/economy/image/class/730/4537906437/256x128
★ Talon Knife | Tiger Tooth (Factory New),Talon Knife,Tiger Tooth,Factory New ★ Covert Knife,0.022,410.46,Tradable,− 10%,https://skinport.com/item/talon-knife-tiger-tooth-factory-new/4398064,https://steam.skinport.com/economy/image/class/730/3222872474/256x128
★ Karambit | Doppler (Factory New),Karambit,Doppler (Phase 4),Factory New ★ Covert Knife,0.033,625.00,Tradable,− 33%,https://skinport.com/item/karambit-doppler-factory-new/4325511,https://steam.skinport.com/economy/image/class/730/721281532/256x128
AK-47 | Fire Serpent (Field-Tested),AK-47,Fire Serpent ,Field-Tested Covert Rifle,0.338,489.99,Tradable,− 13%,https://skinport.com/item/ak-47-fire-serpent-field-tested/4321795,https://steam.skinport.com/economy/image/class/730/4568924847/256x128
★ Butterfly Knife | Slaughter (Minimal Wear),Butterfly Knife,Slaughter ,Minimal Wear ★ Covert Knife,0.103,800.00,Tradable,− 12%,https://skinport.com/item/butterfly-knife-slaughter-minimal-wear/4173978,https://steam.skinport.com/economy/image/class/730/4559715942/256x128
★ M9 Bayonet | Doppler (Factory New),M9 Bayonet,Doppler (Phase 1),Factory New ★ Covert Knife,0.057,400.00,Tradable,− 37%,https://skinport.com/item/m9-bayonet-doppler-factory-new/4340622,https://steam.skinport.com/economy/image/class/730/4569891748/256x128
★ M9 Bayonet | Doppler (Factory New),M9 Bayonet,Doppler (Phase 2) ,Factory New ★ Covert Knife,0.011,517.42,Tradable,− 30%,https://skinport.com/item/m9-bayonet-doppler-factory-new/4273270,https://steam.skinport.com/economy/image/class/730/4544893293/256x128
★ Karambit | Doppler (Factory New),Karambit,Doppler (Phase 1),Factory New ★ Covert Knife,0.014,554.75,Tradable,− 29%,https://skinport.com/item/karambit-doppler-factory-new/4456557,https://steam.skinport.com/economy/image/class/730/720361906/256x128
★ Talon Knife | Marble Fade (Factory New),Talon Knife,Marble Fade,Factory New ★ Covert Knife,0.029,523.30,Tradable,− 18%,https://skinport.com/item/talon-knife-marble-fade-factory-new/4200206,https://steam.skinport.com/economy/image/class/730/3222420515/256x128
★ Karambit | Doppler (Factory New),Karambit,Doppler (Phase 3),Factory New ★ Covert Knife,0.009,559.99,Tradable,− 30%,https://skinport.com/item/karambit-doppler-factory-new/3995211,https://steam.skinport.com/economy/image/class/730/721594909/256x128
AWP | Lightning Strike (Factory New),AWP,Lightning Strike,Factory New Covert Sniper Rifle,0.031,,60 hours,− 17%,https://skinport.com/item/awp-lightning-strike-factory-new/4384984,https://steam.skinport.com/economy/image/class/730/4367055995/256x128
M4A4 | Howl (Field-Tested),M4A4,Howl,Field-Tested Covert Rifle,0.267,3104.51,Tradable,− 14%,https://skinport.com/item/m4a4-howl-field-tested/4034503,https://steam.skinport.com/economy/image/class/730/506853387/256x128
★ Karambit | Fade (Factory New),Karambit,Fade (85%),Factory New ★ Covert Knife,0.026,1077.96,Tradable,− 19%,https://skinport.com/item/karambit-fade-factory-new/4330091,https://steam.skinport.com/economy/image/class/730/310854699/256x128
★ Talon Knife | Fade (Factory New),Talon Knife,Fade (80%),Factory New ★ Covert Knife,0.064,686.43,Tradable,− 23%,https://skinport.com/item/talon-knife-fade-factory-new/4323094,https://steam.skinport.com/economy/image/class/730/2962695388/256x128
★ M9 Bayonet | Doppler (Factory New),M9 Bayonet,Doppler (Phase 4),Factory New ★ Covert Knife,0.052,499.99,Tradable,− 33%,https://skinport.com/item/m9-bayonet-doppler-factory-new/4313545,https://steam.skinport.com/economy/image/class/730/721203652/256x128
M4A1-S | Blue Phosphor (Factory New),M4A1-S,Blue Phosphor,Factory New Classified Rifle,0.052,180.00,Tradable,None,https://skinport.com/item/m4a1-s-blue-phosphor-factory-new/4340502,https://steam.skinport.com/economy/image/class/730/4141779060/256x128
